terminal,type,aircode,airname,flightid,gate,date,time,estdate,esttime,location,locationeng,locationcn,status,aircraft,otherport,otherenf,othercn,luggagegate,checkincounter
1,D,CI,中華航空,73,B4,2018/08/06,00:10:00,2018/08/06,00:17:00,AMS,Amsterdam,阿姆斯特丹,出發DEPARTED,A350-900,,,,,10
1,D,UX,歐洲航空,3000,B4,2018/08/06,00:10:00,2018/08/06,00:17:00,AMS,Amsterdam,阿姆斯特丹,出發DEPARTED,,,,,,10
1,D,KL,荷蘭航空,210,B4,2018/08/06,00:10:00,2018/08/06,00:17:00,AMS,Amsterdam,阿姆斯特丹,出發DEPARTED,,,,,,10
1,D,TR,酷航,893,B7,2018/08/06,00:10:00,2018/08/06,00:28:21,SIN,Singapore,新加坡,出發DEPARTED,B787-9,,,,,1
1,D,MI,勝安航空,8385,B7,2018/08/06,00:10:00,2018/08/06,00:28:21,SIN,Singapore,新加坡,出發DEPARTED,,,,,,1
1,D,SQ,新加坡航空,8385,B7,2018/08/06,00:10:00,2018/08/06,00:28:21,SIN,Singapore,新加坡,出發DEPARTED,,,,,,1
2,D,CZ,南方航空,640,D6,2018/08/06,01:00:00,2018/08/06,00:56:52,URC,Urumqi,烏魯木齊,出發DEPARTED,B787-8,,,,,9
2,D,CI,中華航空,8505,D6,2018/08/06,01:00:00,2018/08/06,00:56:52,URC,Urumqi,烏魯木齊,出發DEPARTED,,,,,,9
1,D,TR,酷航,897,B8,2018/08/06,01:35:00,2018/08/06,02:16:23,SIN,Singapore,新加坡,出發DEPARTED,B787-9,,,,,1
1,D,JW,香草航空,100,A5,2018/08/06,01:50:00,2018/08/06,01:46:00,NRT,Tokyo,東京,出發DEPARTED,A320-200,,,,,5
1,D,Z2,菲亞航,129,A8,2018/08/06,01:55:00,2018/08/06,02:35:39,MNL,Manila,馬尼拉,出發DEPARTED,A320,,,,,12
1,D,GK,捷星日本,12,A9,2018/08/06,01:55:00,2018/08/06,02:06:10,NRT,Tokyo,東京,出發DEPARTED,A320-232,,,,,6
1,D,TW,德威航空,664,A4,2018/08/06,02:05:00,2018/08/06,02:02:09,TAE,Daegu,大邱,出發DEPARTED,B737-800,,,,,10
1,D,IT,台灣虎航,6610,A4,2018/08/06,02:05:00,2018/08/06,02:02:09,TAE,Daegu,大邱,出發DEPARTED,,,,,,10
1,D,7C,濟州航空,2654,A6,2018/08/06,02:50:00,2018/08/06,02:50:10,PUS,Busan,釜山,出發DEPARTED,B737,,,,,11
1,D,JW,香草航空,102,B3,2018/08/06,02:55:00,2018/08/06,11:34:25,NRT,Tokyo,東京,出發DEPARTED,A320,,,,,1
1,D,5J,宿霧航空,311,B7,2018/08/06,03:15:00,2018/08/06,02:57:25,MNL,Manila,馬尼拉,出發DEPARTED,A320,,,,,5
2,D,BX,釜山航空,798,D3,2018/08/06,03:20:00,2018/08/06,03:14:33,PUS,Busan,釜山,出發DEPARTED,A321,,,,,18
2,D,OZ,韓亞航空,9748,D3,2018/08/06,03:20:00,2018/08/06,03:14:33,PUS,Busan,釜山,出發DEPARTED,,,,,,18
1,D,JW,香草航空,172,B1,2018/08/06,05:00:00,2018/08/06,04:59:57,KIX,OsakaKansai,大阪/關西,出發DEPARTED,A320,,,,,5
1,D,CX,國泰航空,463,B5,2018/08/06,06:00:00,2018/08/06,06:01:26,HKG,HongKong,香港,出發DEPARTED,A330,,,,,3
1,D,KA,國泰港龍,5463,B5,2018/08/06,06:00:00,2018/08/06,06:01:26,HKG,HongKong,香港,出發DEPARTED,,,,,,3
1,D,IT,台灣虎航,240,B2,2018/08/06,06:15:00,2018/08/06,06:05:01,FUK,Fukuoka,福岡,出發DEPARTED,A320-232,,,,,7
1,D,IT,台灣虎航,200,B1R,2018/08/06,06:20:00,2018/08/06,06:20:36,NRT,Tokyo,東京,出發DEPARTED,A320-232,,,,,7
2,D,BR,長榮航空,178,B8,2018/08/06,06:30:00,2018/08/06,06:27:05,KIX,OsakaKansai,大阪/關西,出發DEPARTED,A330-300,,,,,13
2,D,TG,泰國航空,6354,B8,2018/08/06,06:30:00,2018/08/06,06:27:05,KIX,OsakaKansai,大阪/關西,出發DEPARTED,,,,,,13
2,D,NH,全日本空輸,5834,B8,2018/08/06,06:30:00,2018/08/06,06:27:05,KIX,OsakaKansai,大阪/關西,出發DEPARTED,,,,,,13
1,D,IT,台灣虎航,301,B1,2018/08/06,06:35:00,2018/08/06,06:36:27,MFM,Macau,澳門,出發DEPARTED,A320-232,,,,,7
1,D,JW,香草航空,180,B7,2018/08/06,06:35:00,2018/08/06,06:32:56,OKA,Okinawa,琉球(沖繩),出發DEPARTED,A320,,,,,5
1,D,IT,台灣虎航,210,A7,2018/08/06,06:40:00,2018/08/06,06:35:12,KIX,OsakaKansai,大阪/關西,出發DEPARTED,A320-232,,,,,7
1,D,TR,酷航,898,B9,2018/08/06,06:40:00,2018/08/06,06:42:11,NRT,Tokyo,東京,出發DEPARTED,B787-9,,,,,1
2,D,AE,華信航空,215,D7,2018/08/06,06:40:00,2018/08/06,06:42:00,FOC,Fuzhou,福州,出發DEPARTED,B737-800,,,,,1
2,D,MF,廈門航空,9002,D7,2018/08/06,06:40:00,2018/08/06,06:42:00,FOC,Fuzhou,福州,出發DEPARTED,,,,,,1
2,D,BR,長榮航空,112,C5R,2018/08/06,06:45:00,2018/08/06,06:47:39,OKA,Okinawa,琉球(沖繩),出發DEPARTED,A321-200,,,,,16
2,D,TG,泰國航空,6370,C5R,2018/08/06,06:45:00,2018/08/06,06:47:39,OKA,Okinawa,琉球(沖繩),出發DEPARTED,,,,,,16
