terminal,type,aircode,airname,flightid,gate,date,time,estdate,esttime,location,locationeng,locationcn,status,aircraft,otherport,otherenf,othercn,luggagegate,checkincounter
1,A,TW,德威航空,663,A4,2018/08/06,00:05:00,2018/08/06,00:01:09,TAE,Daegu,大邱,已到ARRIVED,B737-800,,,,,rsday
1,A,IT,台灣虎航,6611,A4,2018/08/06,00:05:00,2018/08/06,00:01:09,TAE,Daegu,大邱,已到ARRIVED,,,,,,
1,A,CI,中華航空,928,D1,2018/08/06,00:05:00,2018/08/06,00:12:00,HKG,HongKong,香港,已到ARRIVED,A330-300,,,,,
1,A,IT,台灣虎航,506,B5,2018/08/06,00:10:00,2018/08/05,23:57:23,DMK,DMK,廊曼,已到ARRIVED,A320-232,,,,,
2,A,BR,長榮航空,179,C6,2018/08/06,00:10:00,2018/08/05,23:36:00,KIX,OsakaKansai,大阪/關西,已到ARRIVED,A321-200,,,,,ꅘ
2,A,TG,泰國航空,6361,C6,2018/08/06,00:10:00,2018/08/05,23:36:00,KIX,OsakaKansai,大阪/關西,已到ARRIVED,,,,,,ꅘ嗀
2,A,NH,全日本空輸,5841,C6,2018/08/06,00:10:00,2018/08/05,23:36:00,KIX,OsakaKansai,大阪/關西,已到ARRIVED,,,,,,
1,A,JW,香草航空,179,A5,2018/08/06,00:20:00,2018/08/05,23:50:53,KIX,OsakaKansai,大阪/關西,已到ARRIVED,A320-200,,,,,ꅘ嗀
1,A,TR,酷航,897,B8,2018/08/06,00:30:00,2018/08/06,00:25:17,ICN,Incheon,仁川,已到ARRIVED,B787-9,,,,,
1,A,CX,國泰航空,408,B4,2018/08/06,00:40:00,2018/08/06,00:29:00,HKG,HongKong,香港,已到ARRIVED,B777-300,,,,,","
1,A,KA,國泰港龍,5408,B4,2018/08/06,00:40:00,2018/08/06,00:29:00,HKG,HongKong,香港,已到ARRIVED,,,,,,
2,A,HX,香港航空,284,C3,2018/08/06,00:40:00,2018/08/06,00:09:12,HKG,HongKong,香港,已到ARRIVED,A330-223,,,,,","
2,A,BR,長榮航空,2896,C3,2018/08/06,00:40:00,2018/08/06,00:09:12,HKG,HongKong,香港,已到ARRIVED,,,,,,
1,A,IT,台灣虎航,308,A7,2018/08/06,00:45:00,2018/08/06,00:22:52,MFM,Macau,澳門,已到ARRIVED,A320-232,,,,,
1,A,GK,捷星日本,11,A9,2018/08/06,00:50:00,2018/08/06,00:20:30,NRT,Tokyo,東京,已到ARRIVED,A320-232,,,,,
1,A,JW,香草航空,107,B3,2018/08/06,00:55:00,2018/08/06,10:03:41,NRT,Tokyo,東京,已到ARRIVED,A320,,,,,
1,A,5J,宿霧航空,310,B7,2018/08/06,01:20:00,2018/08/06,01:37:16,MNL,Manila,馬尼拉,已到ARRIVED,A320,,,,,麼嗀
1,A,Z2,菲亞航,128,A8,2018/08/06,01:30:00,2018/08/06,01:40:39,MNL,Manila,馬尼拉,已到ARRIVED,A320,,,,,
2,A,BR,長榮航空,9,B9,2018/08/06,04:40:00,2018/08/06,04:16:48,YVR,Vancouver,溫哥華,已到ARRIVED,B777-300,,,,,
2,A,TG,泰國航空,6345,B9,2018/08/06,04:40:00,2018/08/06,04:16:48,YVR,Vancouver,溫哥華,已到ARRIVED,,,,,,
2,A,SQ,新加坡航空,5809,B9,2018/08/06,04:40:00,2018/08/06,04:16:48,YVR,Vancouver,溫哥華,已到ARRIVED,,,,,,
2,A,BR,長榮航空,35,C2,2018/08/06,04:45:00,2018/08/06,04:01:14,YYZ,Toronto,多倫多,已到ARRIVED,B777-300,,,,,
2,A,SQ,新加坡航空,5835,C2,2018/08/06,04:45:00,2018/08/06,04:01:14,YYZ,Toronto,多倫多,已到ARRIVED,,,,,,
2,A,TG,泰國航空,6347,C2,2018/08/06,04:45:00,2018/08/06,04:01:14,YYZ,Toronto,多倫多,已到ARRIVED,,,,,,
2,A,BR,長榮航空,17,C4,2018/08/06,04:50:00,2018/08/06,04:20:03,SFO,SanFrancisco,舊金山,已到ARRIVED,B777-300,,,,,
2,A,SQ,新加坡航空,5817,C4,2018/08/06,04:50:00,2018/08/06,04:20:03,SFO,SanFrancisco,舊金山,已到ARRIVED,,,,,,
2,A,AV,哥倫比亞,4504,C4,2018/08/06,04:50:00,2018/08/06,04:20:03,SFO,SanFrancisco,舊金山,已到ARRIVED,,,,,,
2,A,TG,泰國航空,6331,C4,2018/08/06,04:50:00,2018/08/06,04:20:03,SFO,SanFrancisco,舊金山,已到ARRIVED,,,,,,
2,A,CI,中華航空,7,D2,2018/08/06,05:00:00,2018/08/06,04:56:00,LAX,LosAngeles,洛杉磯,已到ARRIVED,B777-300,,,,,
2,A,DL,達美航空,7730,D2,2018/08/06,05:00:00,2018/08/06,04:56:00,LAX,LosAngeles,洛杉磯,已到ARRIVED,,,,,,
2,A,VN,越南航空,2033,D2,2018/08/06,05:00:00,2018/08/06,04:56:00,LAX,LosAngeles,洛杉磯,已到ARRIVED,,,,,,
2,A,BR,長榮航空,31,C7,2018/08/06,05:05:00,2018/08/06,04:13:23,JFK,NewYork,紐約,已到ARRIVED,B777-300,,,,,
2,A,TG,泰國航空,6343,C7,2018/08/06,05:05:00,2018/08/06,04:13:23,JFK,NewYork,紐約,已到ARRIVED,,,,,,
2,A,SQ,新加坡航空,5831,C7,2018/08/06,05:05:00,2018/08/06,04:13:23,JFK,NewYork,紐約,已到ARRIVED,,,,,,
2,A,AV,哥倫比亞,4506,C7,2018/08/06,05:05:00,2018/08/06,04:13:23,JFK,NewYork,紐約,已到ARRIVED,,,,,,
2,A,CI,中華航空,11,D9,2018/08/06,05:05:00,2018/08/06,05:02:00,JFK,NewYork,紐約,已到ARRIVED,B777-300,,,,,
2,A,VN,越南航空,3009,D9,2018/08/06,05:05:00,2018/08/06,05:02:00,JFK,NewYork,紐約,已到ARRIVED,,,,,,嗀
2,A,BR,長榮航空,27,C1,2018/08/06,05:10:00,2018/08/06,04:44:57,SFO,SanFrancisco,舊金山,已到ARRIVED,B777-300,,,,,
2,A,SQ,新加坡航空,5827,C1,2018/08/06,05:10:00,2018/08/06,04:44:57,SFO,SanFrancisco,舊金山,已到ARRIVED,,,,,,
2,A,AV,哥倫比亞,4510,C1,2018/08/06,05:10:00,2018/08/06,04:44:57,SFO,SanFrancisco,舊金山,已到ARRIVED,,,,,,
2,A,TG,泰國航空,6333,C1,2018/08/06,05:10:00,2018/08/06,04:44:57,SFO,SanFrancisco,舊金山,已到ARRIVED,,,,,,皀
